led,intensity,S,M,L,Rods,Mel
0,3055,7.107172727882123e-06,7.950086492727528e-07,6.64731262482674e-07,2.1968675485101803e-06,2.7086547590466896e-06
0,3120,7.217511817282815e-06,8.049876381425697e-07,6.723723503908098e-07,2.228324430080607e-06,2.7482358637986635e-06
0,3185,7.347255876065885e-06,8.198575809876668e-07,6.840507146472527e-07,2.2709462151825133e-06,2.8004298808782993e-06
0,3250,7.43639950740552e-06,8.289372391801234e-07,6.911852124073972e-07,2.2982923142330704e-06,2.8344128120947807e-06
0,3315,7.749899539723918e-06,8.707821483144696e-07,7.280058223320293e-07,2.402041697755948e-06,2.9599623919900516e-06
0,3380,7.754030691313356e-06,8.725228869292872e-07,7.295862130146368e-07,2.4054361509410603e-06,2.963753875022225e-06
0,3445,7.931175328178095e-06,8.914890922779639e-07,7.44980290592141e-07,2.460180523920001e-06,3.0313941758789577e-06
0,3510,8.206540385266493e-06,9.19149925040727e-07,7.659601372363589e-07,2.5446220414011217e-06,3.1362751624858313e-06
0,3575,8.373678343110898e-06,9.366320107810234e-07,7.798939759295805e-07,2.5965948139856672e-06,3.2006314536677914e-06
0,3640,8.379216260933458e-06,9.37980730889853e-07,7.806282148341045e-07,2.6000244316286394e-06,3.20454415021559e-06
0,3705,8.596437895245598e-06,9.6030132114552e-07,7.977040961531569e-07,2.667925958640057e-06,3.288585036524838e-06
0,3770,8.67438745011981e-06,9.697228292986227e-07,8.053748012871486e-07,2.6930994938550936e-06,3.3193882181170673e-06
0,3835,8.768718839895286e-06,9.92170903150659e-07,8.281657315196982e-07,2.733141545236474e-06,3.3648531432006644e-06
0,3900,8.86355746687758e-06,1.0011313070049863e-06,8.348328877955249e-07,2.7616581717868836e-06,3.400506660899132e-06
0,3965,8.988149794533595e-06,1.0121601588232177e-06,8.42912727715566e-07,2.799148829514462e-06,3.4476704943262643e-06
0,4030,8.973760917994018e-06,1.0124887066904868e-06,8.43426553013337e-07,2.7960121642544856e-06,3.4430226536614957e-06
0,4095,9.053643510237338e-06,1.0210399741182742e-06,8.495675679643547e-07,2.8227974179477733e-06,3.4759627678736234e-06
1,0,4.82565524832512e-16,8.076367566626614e-12,1.5345953402326104e-11,1.2396985071792722e-12,2.3181512122365093e-13
1,65,1.9614549131119916e-07,3.1370539199010555e-08,2.004662245802036e-08,9.301410189805777e-08,1.1349800220662144e-07
1,130,4.921645202700922e-07,8.210187192848742e-08,5.565420142520094e-08,2.329947983683838e-07,2.82650349186026e-07
1,195,8.733496479361312e-07,1.4597609113619837e-07,1.0098423415859872e-07,4.088715693567698e-07,4.950086148748131e-07
